	SampleID	Description	SampleID-Lab
0	E2-88342	E2-88342-A01-ES58NTXX01	ES58NTXX01
1	E2-88343	E2-88343-B01-ES58NTXX02	ES58NTXX02
2	E2-88344	E2-88344-C01-ES58NTXX03	ES58NTXX03
3	E2-88345	E2-88345-D01-ES58NTXX04	ES58NTXX04
4	E2-88346	E2-88346-E01-ES58S1XX01	ES58S1XX01
5	E2-88347	E2-88347-F01-ES58S1XX02	ES58S1XX02
6	E2-88348	E2-88348-G01-ES58S1XX03	ES58S1XX03
7	E2-88349	E2-88349-H01-ES58S1XX04	ES58S1XX04
8	E2-88350	E2-88350-A02-ES58S2XX01	ES58S2XX01
9	E2-88351	E2-88351-B02-ES58S2XX02	ES58S2XX02
10	E2-88352	E2-88352-C02-ES58S2XX03	ES58S2XX03
11	E2-88353	E2-88353-D02-ES58S2XX04	ES58S2XX04
12	E2-88354	E2-88354-E02-ES58NTMX01	ES58NTMX01
13	E2-88355	E2-88355-F02-ES58NTMX02	ES58NTMX02
14	E2-88356	E2-88356-G02-ES58NTMX03	ES58NTMX03
15	E2-88357	E2-88357-H02-ES58NTMX04	ES58NTMX04
16	E2-88358	E2-88358-A03-ES58NTMX05	ES58NTMX05
17	E2-88359	E2-88359-B03-ES58NTMX06	ES58NTMX06
18	E2-88360	E2-88360-C03-ES58NTMX07	ES58NTMX07
19	E2-88361	E2-88361-D03-ES58NTMX08	ES58NTMX08
20	E2-88362	E2-88362-E03-ES58NTXS01	ES58NTXS01
21	E2-88363	E2-88363-F03-ES58NTXS02	ES58NTXS02
22	E2-88365	E2-88365-H03-ES58NTXS04	ES58NTXS04
23	E2-88366	E2-88366-A04-ES58NTMS01	ES58NTMS01
24	E2-88367	E2-88367-B04-ES58NTMS02	ES58NTMS02
25	E2-88368	E2-88368-C04-ES58NTMS03	ES58NTMS03
26	E2-88369	E2-88369-D04-ES58NTMS04	ES58NTMS04
27	E2-88370	E2-88370-E04-ES58NTMS05	ES58NTMS05
28	E2-88371	E2-88371-F04-ES58NTMS06	ES58NTMS06
29	E2-88372	E2-88372-G04-ES58NTMS07	ES58NTMS07
30	E2-88373	E2-88373-H04-ES58NTMS08	ES58NTMS08
31	E2-88374	E2-88374-A05-ES58NTMB01	ES58NTMB01
32	E2-88375	E2-88375-B05-ES58NTMB02	ES58NTMB02
33	E2-88376	E2-88376-C05-ES58NTMB03	ES58NTMB03
34	E2-88377	E2-88377-D05-ES58NTMB04	ES58NTMB04
35	E2-88378	E2-88378-E05-ES58NTMB05	ES58NTMB05
36	E2-88379	E2-88379-F05-ES58NTMB06	ES58NTMB06
37	E2-88380	E2-88380-G05-ES58NTMB07	ES58NTMB07
38	E2-88381	E2-88381-H05-ES58NTMB08	ES58NTMB08
39	E2-88382	E2-88382-A06-ES58NTXB01	ES58NTXB01
40	E2-88383	E2-88383-B06-ES58NTXB02	ES58NTXB02
41	E2-88384	E2-88384-C06-ES58NTXB03	ES58NTXB03
42	E2-88385	E2-88385-D06-ES58NTXB04	ES58NTXB04
43	E2-88386	E2-88386-E06-ES58S2XB01	ES58S2XB01
44	E2-88387	E2-88387-F06-ES58S2XB02	ES58S2XB02
45	E2-88388	E2-88388-G06-ES58S2XB03	ES58S2XB03
46	E2-88389	E2-88389-H06-ES58S2XB04	ES58S2XB04
47	E2-88390	E2-88390-A07-ES58S1MX01	ES58S1MX01
48	E2-88391	E2-88391-B07-ES58S1MX02	ES58S1MX02
49	E2-88392	E2-88392-C07-ES58S1MX03	ES58S1MX03
50	E2-88393	E2-88393-D07-ES58S1MX04	ES58S1MX04
51	E2-88394	E2-88394-E07-ES58S2MX01	ES58S2MX01
52	E2-88395	E2-88395-F07-ES58S2MX02	ES58S2MX02
53	E2-88396	E2-88396-G07-ES58S2MX03	ES58S2MX03
54	E2-88397	E2-88397-H07-ES58S2MX04	ES58S2MX04
55	E2-88398	E2-88398-A08-ES58S2MB01	ES58S2MB01
56	E2-88399	E2-88399-B08-ES58S2MB02	ES58S2MB02
57	E2-88400	E2-88400-C08-ES58S2MB03	ES58S2MB03
58	E2-88401	E2-88401-D08-ES58S2MB04	ES58S2MB04
