SampleID-Lab	Cell Line	Inhibition Status	CRISPR	MRTX	BI	SHP2i	Time Point	Population
ES58NTXX01	58	NTXX	NT	False	False	False	0	A
ES58NTXX02	58	NTXX	NT	False	False	False	0	A
ES58NTXX03	58	NTXX	NT	False	False	False	0	B
ES58NTXX04	58	NTXX	NT	False	False	False	0	B
ES58S1XX01	58	S1XX	S1	False	False	False	0	A
ES58S1XX02	58	S1XX	S1	False	False	False	0	A
ES58S1XX03	58	S1XX	S1	False	False	False	0	B
ES58S1XX04	58	S1XX	S1	False	False	False	0	B
ES58S2XX01	58	S2XX	S2	False	False	False	0	A
ES58S2XX02	58	S2XX	S2	False	False	False	0	A
ES58S2XX03	58	S2XX	S2	False	False	False	0	B
ES58S2XX04	58	S2XX	S2	False	False	False	0	B
ES58NTMX01	58	NTMX	NT	True	False	False	6	A
ES58NTMX02	58	NTMX	NT	True	False	False	6	A
ES58NTMX03	58	NTMX	NT	True	False	False	6	B
ES58NTMX04	58	NTMX	NT	True	False	False	6	B
ES58NTMX05	58	NTMX	NT	True	False	False	72	A
ES58NTMX06	58	NTMX	NT	True	False	False	72	A
ES58NTMX07	58	NTMX	NT	True	False	False	72	B
ES58NTMX08	58	NTMX	NT	True	False	False	72	B
ES58NTXS01	58	NTXS	NT	False	False	True	6	A
ES58NTXS02	58	NTXS	NT	False	False	True	6	A
ES58NTXS04	58	NTXS	NT	False	False	True	6	B
ES58NTMS01	58	NTMS	NT	True	False	True	6	A
ES58NTMS02	58	NTMS	NT	True	False	True	6	A
ES58NTMS03	58	NTMS	NT	True	False	True	6	B
ES58NTMS04	58	NTMS	NT	True	False	True	6	B
ES58NTMS05	58	NTMS	NT	True	False	True	72	A
ES58NTMS06	58	NTMS	NT	True	False	True	72	A
ES58NTMS07	58	NTMS	NT	True	False	True	72	B
ES58NTMS08	58	NTMS	NT	True	False	True	72	B
ES58NTMB01	58	NTMB	NT	True	True	False	6	A
ES58NTMB02	58	NTMB	NT	True	True	False	6	A
ES58NTMB03	58	NTMB	NT	True	True	False	6	B
ES58NTMB04	58	NTMB	NT	True	True	False	6	B
ES58NTMB05	58	NTMB	NT	True	True	False	72	A
ES58NTMB06	58	NTMB	NT	True	True	False	72	A
ES58NTMB07	58	NTMB	NT	True	True	False	72	B
ES58NTMB08	58	NTMB	NT	True	True	False	72	B
ES58NTXB01	58	NTXB	NT	False	True	False	6	A
ES58NTXB02	58	NTXB	NT	False	True	False	6	A
ES58NTXB03	58	NTXB	NT	False	True	False	6	B
ES58NTXB04	58	NTXB	NT	False	True	False	6	B
ES58S2XB01	58	S2XB	S2	False	True	False	6	A
ES58S2XB02	58	S2XB	S2	False	True	False	6	A
ES58S2XB03	58	S2XB	S2	False	True	False	6	B
ES58S2XB04	58	S2XB	S2	False	True	False	6	B
ES58S1MX01	58	S1MX	S1	True	False	False	6	A
ES58S1MX02	58	S1MX	S1	True	False	False	6	A
ES58S1MX03	58	S1MX	S1	True	False	False	6	B
ES58S1MX04	58	S1MX	S1	True	False	False	6	B
ES58S2MX01	58	S2MX	S2	True	False	False	6	A
ES58S2MX02	58	S2MX	S2	True	False	False	6	A
ES58S2MX03	58	S2MX	S2	True	False	False	6	B
ES58S2MX04	58	S2MX	S2	True	False	False	6	B
ES58S2MB01	58	S2MB	S2	True	True	False	6	A
ES58S2MB02	58	S2MB	S2	True	True	False	6	A
ES58S2MB03	58	S2MB	S2	True	True	False	6	B
ES58S2MB04	58	S2MB	S2	True	True	False	6	B
