,Flowcell,SampleID,Description,SampleID-Lab
0,200924_N06_0209_BHFYKWDSXY,E2-78710,E2-78710-A01-ES23NTXX01,ES23NTXX01
1,200924_N06_0209_BHFYKWDSXY,E2-78711,E2-78711-B01-ES23NTXX02,ES23NTXX02
2,200924_N06_0209_BHFYKWDSXY,E2-78712,E2-78712-C01-ES23NTXX03,ES23NTXX03
3,200924_N06_0209_BHFYKWDSXY,E2-78713,E2-78713-D01-ES23NTXX04,ES23NTXX04
4,200924_N06_0209_BHFYKWDSXY,E2-78714,E2-78714-E01-ES23S1XX01,ES23S1XX01
5,200924_N06_0209_BHFYKWDSXY,E2-78715,E2-78715-F01-ES23S1XX02,ES23S1XX02
6,200924_N06_0209_BHFYKWDSXY,E2-78716,E2-78716-G01-ES23S1XX03,ES23S1XX03
7,200924_N06_0209_BHFYKWDSXY,E2-78717,E2-78717-H01-ES23S1XX04,ES23S1XX04
8,200924_N06_0209_BHFYKWDSXY,E2-78718,E2-78718-A02-ES23S2XX01,ES23S2XX01
9,200924_N06_0209_BHFYKWDSXY,E2-78719,E2-78719-B02-ES23S2XX02,ES23S2XX02
10,200924_N06_0209_BHFYKWDSXY,E2-78720,E2-78720-C02-ES23S2XX03,ES23S2XX03
11,200924_N06_0209_BHFYKWDSXY,E2-78721,E2-78721-D02-ES23S2XX04,ES23S2XX04
12,200924_N06_0209_BHFYKWDSXY,E2-78722,E2-78722-E02-ES23NTMX01,ES23NTMX01
13,200924_N06_0209_BHFYKWDSXY,E2-78723,E2-78723-F02-ES23NTMX02,ES23NTMX02
14,200924_N06_0209_BHFYKWDSXY,E2-78724,E2-78724-G02-ES23NTMX03,ES23NTMX03
15,200924_N06_0209_BHFYKWDSXY,E2-78725,E2-78725-H02-ES23NTMX04,ES23NTMX04
16,200924_N06_0209_BHFYKWDSXY,E2-78726,E2-78726-A03-ES23NTMX05,ES23NTMX05
17,200924_N06_0209_BHFYKWDSXY,E2-78727,E2-78727-B03-ES23NTMX06,ES23NTMX06
18,200924_N06_0209_BHFYKWDSXY,E2-78728,E2-78728-C03-ES23NTMX07,ES23NTMX07
19,200924_N06_0209_BHFYKWDSXY,E2-78729,E2-78729-D03-ES23NTMX08,ES23NTMX08
20,200924_N06_0209_BHFYKWDSXY,E2-78730,E2-78730-E03-ES23S1MX01,ES23S1MX01
21,200924_N06_0209_BHFYKWDSXY,E2-78731,E2-78731-F03-ES23S1MX02,ES23S1MX02
22,200924_N06_0209_BHFYKWDSXY,E2-78732,E2-78732-G03-ES23S1MX03,ES23S1MX03
23,200924_N06_0209_BHFYKWDSXY,E2-78733,E2-78733-H03-ES23S1MX04,ES23S1MX04
24,200924_N06_0209_BHFYKWDSXY,E2-78734,E2-78734-A04-ES23S2MX01,ES23S2MX01
25,200924_N06_0209_BHFYKWDSXY,E2-78735,E2-78735-B04-ES23S2MX02,ES23S2MX02
26,200924_N06_0209_BHFYKWDSXY,E2-78736,E2-78736-C04-ES23S2MX03,ES23S2MX03
27,200924_N06_0209_BHFYKWDSXY,E2-78737,E2-78737-D04-ES23S2MX04,ES23S2MX04
28,200924_N06_0209_BHFYKWDSXY,E2-78738,E2-78738-E04-ES23NTMB01,ES23NTMB01
29,200924_N06_0209_BHFYKWDSXY,E2-78739,E2-78739-F04-ES23NTMB02,ES23NTMB02
30,200924_N06_0209_BHFYKWDSXY,E2-78740,E2-78740-G04-ES23NTMB03,ES23NTMB03
31,200924_N06_0209_BHFYKWDSXY,E2-78741,E2-78741-H04-ES23NTMB04,ES23NTMB04
32,200924_N06_0209_BHFYKWDSXY,E2-78742,E2-78742-A05-ES23NTMB05,ES23NTMB05
33,200924_N06_0209_BHFYKWDSXY,E2-78743,E2-78743-B05-ES23NTMB06,ES23NTMB06
34,200924_N06_0209_BHFYKWDSXY,E2-78744,E2-78744-C05-ES23NTMB07,ES23NTMB07
35,200924_N06_0209_BHFYKWDSXY,E2-78745,E2-78745-D05-ES23NTMB08,ES23NTMB08
36,200924_N06_0209_BHFYKWDSXY,E2-78746,E2-78746-E05-ES23S2MB01,ES23S2MB01
37,200924_N06_0209_BHFYKWDSXY,E2-78747,E2-78747-F05-ES23S2MB02,ES23S2MB02
38,200924_N06_0209_BHFYKWDSXY,E2-78748,E2-78748-G05-ES23S2MB03,ES23S2MB03
39,200924_N06_0209_BHFYKWDSXY,E2-78749,E2-78749-H05-ES23S2MB04,ES23S2MB04
40,200924_N06_0209_BHFYKWDSXY,E2-78750,E2-78750-A06-ES23NTXB01,ES23NTXB01
41,200924_N06_0209_BHFYKWDSXY,E2-78751,E2-78751-B06-ES23NTXB02,ES23NTXB02
42,200924_N06_0209_BHFYKWDSXY,E2-78752,E2-78752-C06-ES23NTXB03,ES23NTXB03
43,200924_N06_0209_BHFYKWDSXY,E2-78753,E2-78753-D06-ES23NTXB04,ES23NTXB04
