Sample_ID	Description
E2-88342	E2-88342-A01-ES58NTXX01
E2-88343	E2-88343-B01-ES58NTXX02
E2-88344	E2-88344-C01-ES58NTXX03
E2-88345	E2-88345-D01-ES58NTXX04
E2-88346	E2-88346-E01-ES58S1XX01
E2-88347	E2-88347-F01-ES58S1XX02
E2-88348	E2-88348-G01-ES58S1XX03
E2-88349	E2-88349-H01-ES58S1XX04
E2-88350	E2-88350-A02-ES58S2XX01
E2-88351	E2-88351-B02-ES58S2XX02
E2-88352	E2-88352-C02-ES58S2XX03
E2-88353	E2-88353-D02-ES58S2XX04
E2-88354	E2-88354-E02-ES58NTMX01
E2-88355	E2-88355-F02-ES58NTMX02
E2-88356	E2-88356-G02-ES58NTMX03
E2-88357	E2-88357-H02-ES58NTMX04
E2-88358	E2-88358-A03-ES58NTMX05
E2-88359	E2-88359-B03-ES58NTMX06
E2-88360	E2-88360-C03-ES58NTMX07
E2-88361	E2-88361-D03-ES58NTMX08
E2-88362	E2-88362-E03-ES58NTXS01
E2-88363	E2-88363-F03-ES58NTXS02
E2-88365	E2-88365-H03-ES58NTXS04
E2-88366	E2-88366-A04-ES58NTMS01
E2-88367	E2-88367-B04-ES58NTMS02
E2-88368	E2-88368-C04-ES58NTMS03
E2-88369	E2-88369-D04-ES58NTMS04
E2-88370	E2-88370-E04-ES58NTMS05
E2-88371	E2-88371-F04-ES58NTMS06
E2-88372	E2-88372-G04-ES58NTMS07
E2-88373	E2-88373-H04-ES58NTMS08
E2-88374	E2-88374-A05-ES58NTMB01
E2-88375	E2-88375-B05-ES58NTMB02
E2-88376	E2-88376-C05-ES58NTMB03
E2-88377	E2-88377-D05-ES58NTMB04
E2-88378	E2-88378-E05-ES58NTMB05
E2-88379	E2-88379-F05-ES58NTMB06
E2-88380	E2-88380-G05-ES58NTMB07
E2-88381	E2-88381-H05-ES58NTMB08
E2-88382	E2-88382-A06-ES58NTXB01
E2-88383	E2-88383-B06-ES58NTXB02
E2-88384	E2-88384-C06-ES58NTXB03
E2-88385	E2-88385-D06-ES58NTXB04
E2-88386	E2-88386-E06-ES58S2XB01
E2-88387	E2-88387-F06-ES58S2XB02
E2-88388	E2-88388-G06-ES58S2XB03
E2-88389	E2-88389-H06-ES58S2XB04
E2-88390	E2-88390-A07-ES58S1MX01
E2-88391	E2-88391-B07-ES58S1MX02
E2-88392	E2-88392-C07-ES58S1MX03
E2-88393	E2-88393-D07-ES58S1MX04
E2-88394	E2-88394-E07-ES58S2MX01
E2-88395	E2-88395-F07-ES58S2MX02
E2-88396	E2-88396-G07-ES58S2MX03
E2-88397	E2-88397-H07-ES58S2MX04
E2-88398	E2-88398-A08-ES58S2MB01
E2-88399	E2-88399-B08-ES58S2MB02
E2-88400	E2-88400-C08-ES58S2MB03
E2-88401	E2-88401-D08-ES58S2MB04
