"","abundance","counts","length","countsFromAbundance","counts_normalized"
"5S_rRNA",0,0,197.741935483871,"no",0
"7SK",0.184337,60.100913,2775,"no",0.0113519462152324
"A1BG",3.835476,226.055937426667,501.63924686271,"no",0.0426977680572252
"A1BG-AS1",1.681708,235.714061973333,1192.97029508095,"no",0.0445220084043523
"A1CF",0,0,2450.4,"no",0
"A2M",1.124566,585.02650932,4427.77327697974,"no",0.110500641950078
"A2M-AS1",1.524844,391.81350132,2187,"no",0.0740062932718932
"A2ML1",0,0,1765.33333333333,"no",0
"A2ML1-AS1",0,0,452,"no",0
"A2ML1-AS2",0,0,386,"no",0
"A2MP1",0.008547,4.1475112,4130,"no",0.000783387834215998
"A3GALT2",0,0,940.5,"no",0
"A4GALT",5.476804,1104.33325537333,1716.19962335698,"no",0.208588041228103
"A4GNT",0,0,1771,"no",0
"AAAS",34.524944,5881.24899704,1449.87772530493,"no",1.11085870347407
"AACS",14.341287,5294.32679286667,3142.08109063015,"no",0.999999999974816
"AACSP1",0,0,1823.33333333333,"no",0
"AADAC",0,0,1180.5,"no",0
"AADACL2",0,0,3167.5,"no",0
"AADACL3",0,0,2545,"no",0
"AADACL4",0,0,1575,"no",0
"AADAT",0.23023,61.1599897066667,2261,"no",0.0115519861349569
"AAED1",4.756853,1513.41337704,2707.89991261029,"no",0.28585567839163
"AAGAB",35.1755,10256.5740045067,2481.74295674546,"no",1.93727633474904
"AAK1",4.178477,1489.66620946667,3034.35000336247,"no",0.281370279491674
"AAMDC",22.681821,1633.56850616,612.991179500094,"no",0.308550750648761
"AAMP",123.520859,25753.0908121067,1774.5320408434,"no",4.86428054387512
"AANAT",0.166829,11.5066661333333,587.048558703822,"no",0.00217339552000211
"AAR2",23.199092,6716.39338546667,2464.10908034677,"no",1.2686019673638
"AARD",1.319076,300.453470506667,1938.66155854553,"no",0.0567500802753463
"AARS",61.489138,24967.6145900533,3455.99757145726,"no",4.71591867412959
"AARS2",5.185438,2346.60253810667,3851.66801512235,"no",0.443229636147371
"AARSD1",16.608546,2260.61455409333,1158.48286839799,"no",0.426988103016657
"AASDH",8.124776,3067.40673684,3213.32536540084,"no",0.579376161837164
"AASDHPPT",25.485712,8864.9172322,2960.55188373784,"no",1.67441821761379
"AASS",1.281569,465.29344824,3090.15145575463,"no",0.0878852905066603
"AATF",32.899018,8218.73312749334,2126.26181407603,"no",1.55236604177133
"AATK",0.802111,489.255154173333,5191.53474394442,"no",0.0924112117182135
"AATK-AS1",0,0,1532.5,"no",0
"AB015752.3",0.100329,6.81333298666667,578,"no",0.00128691205757738
"AB019438.66",0,0,141,"no",0
"AB019440.1",0,0,109,"no",0
"AB019440.50",0,0,389,"no",0
"AB019441.29",0.256711,18.91110584,627,"no",0.00357195665839965
"ABAT",2.052358,1141.21155861333,4732.68627646834,"no",0.215553667771738
"ABBA01057584.1",0,0,982,"no",0
"ABC12-47043100G14.2",0,0,184,"no",0
"ABC13-48559800H2.1",0,0,837,"no",0
"ABC13-48559800H2.2",0,0,991,"no",0
"ABC7-42389800N19.1",15.037093,3210.14053633333,1817,"no",0.606335925575596
"ABC7-42391500H16.2",0,0,464,"no",0
"ABC7-43041300I9.1",1.024462,54.6458250133333,454,"no",0.0103215814115563
"ABC9-43961700F1.1",0,0,465,"no",0
"ABCA1",1.548988,1909.53320112,10492.3802760254,"no",0.360675356051827
"ABCA10",0.066246,42.36284256,5442.75373607463,"no",0.00800155415718026
"ABCA11P",2.510133,499.576060773333,1693.94628252766,"no",0.094360639285406
"ABCA12",0.254759,272.380957333333,9100,"no",0.0514477039259207
"ABCA13",0,0,5392.85714285714,"no",0
"ABCA17P",0.54674,105.92003272,1648.88718952336,"no",0.0200063269347189
"ABCA2",15.135583,13514.6802654533,7599.7861126988,"no",2.55267209483971
"ABCA3",5.981095,4551.54851072,6476.9906150964,"no",0.85970297805151
"ABCA4",0,0,1852.88888888889,"no",0
"ABCA5",2.430209,1011.39717494667,3542.19857674793,"no",0.191034141731467
"ABCA6",0.007366,4.58669066666667,5300,"no",0.000866340678616789
